题号    四则运算式子
4891     2/5 ÷ (2'1/3 ＋ 0) × 4 ＝ 
4892     9 ＋ (3 × 9 ＋ 0) ＝ 
4893     6 － (0 × 2 ＋ 2) ＝ 
4894     7 － 0 ÷ 2 × 7 ＝ 
4895     4 ＋ 9 ÷ 3 － 3 ＝ 
4896     2/5 ＋ (4 × 3 ＋ 9) ＝ 
4897     (6 ＋ 2 － 2) × 0 ＝ 
4898     (8 － 1) ÷ (4 ÷ 1/3) ＝ 
4899     9 － 0 × (8 ÷ 2) ＝ 
4900     3/4 × (4 ÷ 4 － 0) ＝ 
4901     2 ÷ 3/8 × (8 ＋ 6) ＝ 
4902     (9 － 6) ÷ 1 － 2/5 ＝ 
4903     8 － (8 ＋ 0 － 1) ＝ 
4904     8 ÷ (5 ÷ 7) － 1'1/4 ＝ 
4905     3 ＋ (3 ＋ 4) ＋ 7/8 ＝ 
4906     1 ＋ (0 ＋ 1/2) － 1 ＝ 
4907     8 ＋ 1'1/2 － 4 ÷ 4/9 ＝ 
4908     (5 ÷ 3 ＋ 0) ÷ 1 ＝ 
4909     8 ＋ 5 － 7 ＋ 9 ＝ 
4910     (2 － 1'2/7) × (2 － 1'2/3) ＝ 
4911     1/3 × 7 × (3/5 ÷ 9) ＝ 
4912     8 × (7 ＋ 6 ＋ 3) ＝ 
4913     4 － (1 ＋ 2) ÷ 3 ＝ 
4914     4 ＋ 8 × (5 － 0) ＝ 
4915     3 × 6 － 6 × 3 ＝ 
4916     (3 － 0) × 1 × 5 ＝ 
4917     4 × 4 ＋ (6 － 1) ＝ 
4918     (9 － 1) ÷ (2 ＋ 3) ＝ 
4919     3 － (2 ＋ 9) × 0 ＝ 
4920     (2 ＋ (1 ＋ 5)) ÷ 4 ＝ 
4921     6 ＋ 2 － 5 × 1 ＝ 
4922     (5 － 4) × 7 × 1/2 ＝ 
4923     9 ＋ (4 ＋ 4 × 3) ＝ 
4924     6 ＋ (7 ＋ 6 ＋ 4) ＝ 
4925     9 ＋ (2 ＋ 5) ＋ 6 ＝ 
4926     8 × (7 － 4) ÷ 3 ＝ 
4927     2 ＋ 7 ＋ 2 ÷ 1/10 ＝ 
4928     1'1/6 × (7 ＋ 6) ＋ 8 ＝ 
4929     (4 － 4) ÷ 2 ÷ 7 ＝ 
4930     1 × 1 ＋ (2 ＋ 1'1/4) ＝ 
4931     4 ÷ (6 ＋ 0 ÷ 1) ＝ 
4932     2 × 1/4 ＋ (6 － 1'3/4) ＝ 
4933     8 － 6 ÷ (7 × 3) ＝ 
4934     5 ＋ 4 ＋ 2/7 ÷ 6 ＝ 
4935     5 × 4 ＋ (7 ＋ 9) ＝ 
4936     5 ＋ (1 － (3 － 2)) ＝ 
4937     7 ÷ 7 ＋ 2'1/4 × 4 ＝ 
4938     3 ＋ (2 ＋ 1'4/5 ÷ 5) ＝ 
4939     4 ＋ (0 ＋ 7) － 5 ＝ 
4940     (2 ＋ 9) ÷ 1/8 ＋ 7 ＝ 
4941     0 ÷ 9 ＋ 9/10 ÷ 3 ＝ 
4942     (3 ＋ 7) ÷ (7 × 9) ＝ 
4943     1'1/4 ＋ 3 ＋ 1 × 1'1/7 ＝ 
4944     2 ÷ (4 ÷ (4/9 ÷ 6)) ＝ 
4945     1 × 9 ÷ 1/2 ＋ 9/10 ＝ 
4946     4 × (6 × 7 ÷ 9) ＝ 
4947     (9 － 4 ＋ 4) ÷ 1 ＝ 
4948     9 － (6 ÷ 4 ＋ 4) ＝ 
4949     (8 － 2'1/4) × 0 ＋ 7 ＝ 
4950     6 ÷ (4 ÷ (9 ＋ 5)) ＝ 
4951     5/8 ＋ 4 － 0 ＋ 9 ＝ 
4952     1/8 ＋ 4 － (5 － 1'2/5) ＝ 
4953     (6 － 4) ÷ (2 × 7) ＝ 
4954     6 － (3 ＋ (0 ＋ 2)) ＝ 
4955     2 ÷ (4 ÷ 2) ＋ 2 ＝ 
4956     9 － (1'3/7 ＋ 2 × 0) ＝ 
4957     6 ＋ 9 × (5 － 4) ＝ 
4958     (5/8 ＋ 4 － 1) × 1'1/4 ＝ 
4959     4/7 × ((9 － 1) ÷ 7) ＝ 
4960     1 ＋ 7 × (0 ＋ 6) ＝ 
4961     1 × (6 － 3'1/3 － 1) ＝ 
4962     (9 － 4) ÷ (5 ＋ 9) ＝ 
4963     4 × (1'1/2 × (2 ＋ 9)) ＝ 
4964     5 ＋ 3 ＋ 9 ＋ 4 ＝ 
4965     1 ＋ (0 ＋ 0 × 1'1/8) ＝ 
4966     1 ÷ (2 ＋ (7 ＋ 3)) ＝ 
4967     8 × (7 ÷ (5 － 3)) ＝ 
4968     7 ＋ 1'1/7 － 2 ÷ 7 ＝ 
4969     7 － 1 ＋ 0 × 0 ＝ 
4970     (8 － 2) × (4 ÷ 9) ＝ 
4971     8 × 5 ÷ (2 × 7) ＝ 
4972     (1/3 ÷ 1'1/3 ＋ 1) ÷ 6 ＝ 
4973     9 － (1'1/2 × 1 ＋ 0) ＝ 
4974     4 × 7 ÷ (7 ＋ 7) ＝ 
4975     7 ＋ 1 － 4'1/2 × 1 ＝ 
4976     4 ＋ (6 ＋ (1 ＋ 1)) ＝ 
4977     (4 ＋ 4) ÷ (8 ＋ 1) ＝ 
4978     4 ＋ 9 × 5 × 4 ＝ 
4979     4 ÷ (2 ＋ 6 × 4) ＝ 
4980     (0 － 0 ＋ 8) × 6/7 ＝ 
4981     1'2/7 ÷ 1/3 ＋ (5 ＋ 3) ＝ 
4982     8 ＋ (8 ＋ 4) － 8 ＝ 
4983     6 ÷ (3 ÷ 1'1/2) ＋ 3 ＝ 
4984     5 ＋ 2 × 1/2 ÷ 8 ＝ 
4985     9 ＋ 6 － 9 ＋ 1'1/4 ＝ 
4986     1 ÷ 2 × 1 ＋ 9 ＝ 
4987     2 × (9 × 1) ＋ 3/4 ＝ 
4988     3 ＋ (8 ÷ 2 － 2/9) ＝ 
4989     (1 ＋ 4 ＋ 1'2/7) × 6 ＝ 
4990     4 ÷ 1 ÷ 6 ＋ 3 ＝ 
4991     3 ÷ 5 ＋ 7 ＋ 2 ＝ 
4992     1'2/7 × 0 ÷ (4 ＋ 1'1/2) ＝ 
4993     (10 ＋ 6) × (5 × 1/8) ＝ 
4994     6 × 2'2/3 － (9 － 8/9) ＝ 
4995     (7 － 1/6) ÷ (4 ÷ 6) ＝ 
4996     4 ÷ (2 ＋ (0 ＋ 0)) ＝ 
4997     (3 ＋ 1) × 5 ＋ 4/5 ＝ 
4998     5 ＋ (1'1/9 ＋ (7/8 ＋ 9)) ＝ 
4999     (5 ＋ 1) ÷ 6 － 0 ＝ 
5000     9 × 3 ÷ (2 ÷ 7) ＝ 
5001     7 ＋ (3 ÷ 1 ＋ 5) ＝ 
5002     7 ÷ 5 ÷ 6 － 0 ＝ 
5003     (2 ＋ 6) ÷ 1'3/5 × 3 ＝ 
5004     5 ＋ 0 ÷ 3 × 1 ＝ 
5005     3 － 0 － 4 ÷ 4 ＝ 
5006     (3 × 7 ＋ 1) × 3 ＝ 
5007     6 － 1/2 ÷ 3 ÷ 4/5 ＝ 
5008     2 × 4/9 × (8 ＋ 1) ＝ 
5009     5 ＋ 1'1/2 ÷ (8 － 5) ＝ 
5010     5 ＋ (7 ＋ (1 ＋ 7)) ＝ 
5011     1/3 × (5 ÷ (8 ＋ 9)) ＝ 
5012     7 × 2 － (6 ＋ 6) ＝ 
5013     5 ÷ 6 ＋ 1/7 × 7 ＝ 
5014     (8 － 3) ÷ 7 × 6 ＝ 
5015     1/3 × ((3 ＋ 5) ÷ 6) ＝ 
5016     1 ＋ (7 × 6 － 4) ＝ 
5017     1'1/2 ÷ (6 ÷ 1 ＋ 5) ＝ 
5018     1 × 9 × 5 ＋ 9 ＝ 
5019     2/3 × (1'2/7 － 1) × 2 ＝ 
5020     5 × 9 × (1 － 4/9) ＝ 
5021     (8 － 8) ÷ (1/7 ＋ 1'4/5) ＝ 
5022     1 ＋ 1 × (4 ＋ 8) ＝ 
5023     9 × (8 ＋ 5/7) ÷ 9 ＝ 
5024     2 × 3 × 2 － 4'1/2 ＝ 
5025     1'1/5 × 2/5 ＋ (8 ＋ 5) ＝ 
5026     9 ＋ 9 ＋ (2 － 0) ＝ 
5027     4 × (2 ＋ 0 × 3) ＝ 
5028     1 ＋ (5 × 6 － 5) ＝ 
5029     (0 ＋ 7) × (5 ÷ 5) ＝ 
5030     1 × (9 ＋ 7 ＋ 3) ＝ 
5031     6 ÷ (2/9 ÷ (7 ÷ 9)) ＝ 
5032     0 ÷ 5 × (0 － 0) ＝ 
5033     (8 ＋ (2 ＋ 6)) × 2 ＝ 
5034     4 × 2'1/3 ＋ (8 ＋ 2) ＝ 
5035     2 ＋ (1 ＋ 3) ＋ 5 ＝ 
5036     3 ＋ 5 － (1 ＋ 5) ＝ 
5037     4 － (5 ＋ 1/4 － 2) ＝ 
5038     (6 － 5 ÷ 9) ÷ 7/8 ＝ 
5039     2 ÷ (9 ÷ 1 ＋ 2) ＝ 
5040     6 × 0 ÷ (1 ＋ 9) ＝ 
5041     4/7 ÷ 3 ＋ 7 × 4 ＝ 
5042     5 ＋ 1 ＋ 4 × 1 ＝ 
5043     6 ＋ 1 － 7 ÷ 9 ＝ 
5044     6 ＋ 1 ＋ 3/7 × 1/2 ＝ 
5045     1/9 ＋ 6 ＋ 3 ＋ 1'1/2 ＝ 
5046     9 ＋ (6 ＋ (6 － 1'3/7)) ＝ 
5047     6 × 8 ＋ 4 ＋ 4 ＝ 
5048     3/4 × (3 × 0) ＋ 2 ＝ 
5049     6 × (4 － 5/8) × 5 ＝ 
5050     4 × (8 × 1'1/6) × 7 ＝ 
5051     3'1/3 × ((5 ＋ 4) × 2/3) ＝ 
5052     7 ＋ 9 ＋ 3/7 － 2/5 ＝ 
5053     7 ÷ 1/2 ÷ (2 ÷ 2) ＝ 
5054     4 ＋ (5 × 7 － 3) ＝ 
5055     (8 ＋ 2) × (1'1/2 ＋ 8) ＝ 
5056     6 ＋ (3 ÷ 9 ＋ 3) ＝ 
5057     4 × 5 ＋ 1 ＋ 1 ＝ 
5058     5 ＋ (7 × 7 ＋ 6) ＝ 
5059     (4 ＋ 6) ÷ (2/3 － 4/9) ＝ 
5060     7 ÷ 9 － 5 × 0 ＝ 
5061     3 ÷ (6 ÷ 9 × 2/3) ＝ 
5062     (1'1/4 × 4 － 5) × 4 ＝ 
5063     (3 × 9 ＋ 1'1/2) × 4 ＝ 
5064     6/7 － 1/3 ＋ (1'2/3 ＋ 9) ＝ 
5065     9 ÷ 1'1/5 ÷ 2 － 3 ＝ 
5066     6 ÷ (4 ＋ 4) × 6 ＝ 
5067     2 ＋ 2 ＋ 5 ÷ 1'1/4 ＝ 
5068     3 × (8 × 5) ÷ 6 ＝ 
5069     3 ÷ (1'2/3 × 6 ÷ 3) ＝ 
5070     (0 ＋ 10) ÷ (1'3/5 ÷ 2) ＝ 
5071     (1 ÷ 4 ＋ 1/2) ÷ 8 ＝ 
5072     3 ÷ (6/7 ＋ 7 － 4) ＝ 
5073     5 － (6 － 5) － 2/5 ＝ 
5074     (1 － 0 ＋ 8) ÷ 1'2/3 ＝ 
5075     (5 ＋ 5) ÷ (6 × 1) ＝ 
5076     5 ＋ (6 ＋ 7 ＋ 0) ＝ 
5077     2 ＋ (9 － 1'3/4) － 8 ＝ 
5078     5 ＋ 6 × 6 × 1'2/5 ＝ 
5079     (5 ＋ (4 － 1/10)) × 5 ＝ 
5080     7 － 4 × 7 ÷ 5 ＝ 
5081     1 ÷ (1'1/9 ＋ (2 ＋ 7)) ＝ 
5082     (8 ＋ 9 － 1'2/7) × 6 ＝ 
5083     (6 ＋ 1) × (2 × 1) ＝ 
5084     3 × (8 × 1 × 7) ＝ 
5085     9 ＋ (6 － 6 ＋ 0) ＝ 
5086     (2 － 1/2) ÷ (1 ÷ 2) ＝ 
5087     6 － 7/9 ＋ (7 ＋ 5) ＝ 
5088     4 × (1 ＋ 4/9) ＋ 8 ＝ 
5089     1'1/6 ÷ (7/8 ÷ 7) － 5 ＝ 
5090     6 ÷ 2'1/3 ＋ (0 － 0) ＝ 
5091     2 ÷ ((8 ＋ 5) ÷ 7) ＝ 
5092     (9 ＋ (2'2/3 － 1/2)) ÷ 5 ＝ 
5093     1'1/4 × 1 ÷ (5 × 3) ＝ 
5094     3 × 8 × 8 ÷ 9 ＝ 
5095     (6 － 2) × (3/7 × 0) ＝ 
5096     (6 ＋ 7/9) ÷ (9 － 7) ＝ 
5097     9 × (6 ÷ 8) ÷ 6 ＝ 
5098     2 ÷ (1/7 × (9 × 6)) ＝ 
5099     2 ÷ (9 ＋ 3 ÷ 4) ＝ 
5100     (9 － 8) ÷ (3 ＋ 2) ＝ 
5101     2 × (9 ＋ (4 ＋ 9)) ＝ 
5102     4 ＋ 5 ＋ (8 － 2'2/3) ＝ 
5103     6 － 4 ＋ (5 ＋ 8) ＝ 
5104     7 ＋ 5 × 2 × 8 ＝ 
5105     7 × 10 － (5 ＋ 4) ＝ 
5106     0 ÷ (1 × (4 ＋ 1/4)) ＝ 
5107     3 － (3 ＋ 6) ÷ 4 ＝ 
5108     7 ＋ (7 ＋ 8) ＋ 4/5 ＝ 
5109     8 － 6 ＋ (5 － 3) ＝ 
5110     (9 － 5) × 2 － 8 ＝ 
5111     5 － 1 ＋ 1 － 2 ＝ 
5112     3 × (0 ＋ 4) ＋ 5 ＝ 
5113     (6 ＋ 3) × (1 － 1/3) ＝ 
5114     2 ＋ (9 × 0 ＋ 1) ＝ 
5115     5 × (9 － 4 － 5) ＝ 
5116     4/5 ÷ (5 ＋ (3 ＋ 4)) ＝ 
5117     0 × 2 ＋ 1 ÷ 1/3 ＝ 
5118     4 ＋ (1 ＋ 4) ＋ 4 ＝ 
5119     1 ÷ (1 × 7 ＋ 1/4) ＝ 
5120     1 × 3 － (0 － 0) ＝ 
5121     2 × (8 ÷ 1 － 3) ＝ 
5122     5 ＋ (5 ＋ 4 × 2) ＝ 
5123     7 － (2 ＋ 8 × 0) ＝ 
5124     3/10 ＋ (1 ＋ 0) × 0 ＝ 
5125     5 ＋ 0 × (3'1/2 ＋ 0) ＝ 
5126     1 ＋ (0 × 3 ＋ 4) ＝ 
5127     2 × (2/3 ＋ 7) － 1/3 ＝ 
5128     3 ＋ 2/5 ＋ (8 － 1) ＝ 
5129     2 ＋ (5 ＋ (7 ＋ 0)) ＝ 
5130     1 ＋ 6 ÷ (2 ＋ 5/9) ＝ 
5131     5 ÷ 6/7 ÷ (4 × 7) ＝ 
5132     3 × 9 × 2 ÷ 1/4 ＝ 
5133     3 ＋ 9 － (8 － 3) ＝ 
5134     (6 ＋ 5 － 6) ÷ 3 ＝ 
5135     (9 － 3) × (4 ＋ 0) ＝ 
5136     9 ＋ 4 × 4 ＋ 7 ＝ 
5137     4 ＋ 1 ＋ 8 ÷ 1 ＝ 
5138     3 × 4 × (6 ＋ 0) ＝ 
5139     2 ＋ (7 ＋ 9) × 2 ＝ 
5140     1'1/4 × 4 × (1 ÷ 5/6) ＝ 
5141     3 × (1/3 ＋ (5 － 1'2/7)) ＝ 
5142     0 ÷ (0 ＋ 1'1/2 ＋ 9) ＝ 
5143     7 ＋ 3 － 4 ÷ 3 ＝ 
5144     8 × (4 ÷ 5 × 2) ＝ 
5145     3 － 1 ＋ (2 ＋ 6) ＝ 
5146     0 ＋ 5 ÷ (9/10 × 9) ＝ 
5147     (6 × 3 － 8) ÷ 7 ＝ 
5148     4 × 2 ÷ 4'1/2 ÷ 6 ＝ 
5149     8 × 3 × 5 × 1/4 ＝ 
5150     4 － 1 ＋ 2 － 1 ＝ 
5151     (3 ＋ 6) ÷ (9 － 3) ＝ 
5152     0 ＋ (3 ＋ 2 ＋ 7) ＝ 
5153     9 ＋ 1 × 2 － 8 ＝ 
5154     (2 ＋ 1'1/8) × (5 ＋ 5) ＝ 
5155     3 － (3 － 1'1/5) ÷ 6 ＝ 
5156     5 ＋ (8 ÷ 4 ＋ 4) ＝ 
5157     (1 ＋ 3) × (4 ＋ 3/5) ＝ 
5158     8 ÷ 5 ÷ (8 － 1/2) ＝ 
5159     8 ÷ (5 ＋ 5) ÷ 4 ＝ 
5160     (1 ＋ 9 ÷ 6) × 9 ＝ 
5161     7 × 2 × (3 ＋ 9) ＝ 
5162     6 － (1 ＋ 8) × 0 ＝ 
5163     5 － 4/5 ÷ 1 ÷ 6 ＝ 
5164     3 × (0 ＋ 8) × 3 ＝ 
5165     3 ÷ 2 × 2 － 3 ＝ 
5166     8 ÷ 5 × 2 ＋ 1'2/3 ＝ 
5167     (5 ＋ 1 ＋ 3) × 5 ＝ 
5168     (3 ＋ (9 － 2)) × 3/10 ＝ 
5169     4 ÷ (9 ÷ 1 × 1) ＝ 
5170     (7 ÷ 4 ＋ 2) ÷ 3/5 ＝ 
5171     7 ÷ 7 ＋ 9 ÷ 9 ＝ 
5172     2/5 ＋ 1 ÷ (8 ÷ 3) ＝ 
5173     2/3 － 0 ÷ (9 × 3) ＝ 
5174     0 × 5/9 ＋ (5 ＋ 5) ＝ 
5175     (0 ＋ 1/4 × 7) ÷ 1'2/3 ＝ 
5176     (0 ＋ 8 ＋ 8) ÷ 6 ＝ 
5177     3 ＋ (3 － (0 ＋ 4/5)) ＝ 
5178     9 － 5 － 2 ÷ 2 ＝ 
5179     (7 － 0) × (1/5 × 8) ＝ 
5180     2'1/3 ＋ 6 × (0 ÷ 1/9) ＝ 
5181     (5 － 1) × (1 ÷ 1/2) ＝ 
5182     7 ＋ 2 － 1 ＋ 8 ＝ 
5183     8 － 3/4 ÷ (4 ＋ 1'1/7) ＝ 
5184     7 ＋ (9 － 0 × 3) ＝ 
5185     (3 － 0) ÷ (5 × 9) ＝ 
5186     6 × (8 ÷ 4) ＋ 5 ＝ 
5187     6 ＋ 0 － 0 × 9 ＝ 
5188     3 ＋ 7 － (4 － 3) ＝ 
5189     1 × (1 × (3 × 5)) ＝ 
5190     (5 ＋ 3) ÷ (7 － 4/7) ＝ 
5191     (3 － 2) ÷ 6 × 5 ＝ 
5192     4 ÷ (1 × 3 ＋ 7) ＝ 
5193     2 × ((3 ＋ 6) ÷ 8) ＝ 
5194     2 ＋ 4 ＋ 8 － 6 ＝ 
5195     (2 ＋ (8 － 1)) ÷ 1 ＝ 
5196     (7 ＋ 2) × (2'1/2 ＋ 1) ＝ 
5197     2 × (2 × (1 × 1/7)) ＝ 
5198     7 ÷ ((1 ＋ 5) ÷ 4) ＝ 
5199     9 × 4 ÷ (4 ÷ 8) ＝ 
5200     3 × 1 × (2 ＋ 0) ＝ 
5201     0 × 3 ＋ 1/2 × 8 ＝ 
5202     (8 ＋ 6) × (7 － 3) ＝ 
5203     1'1/6 ÷ 2 × (1'2/3 ＋ 4) ＝ 
5204     2/7 × (1 ＋ 3) ＋ 1/6 ＝ 
5205     8 ＋ (9 ＋ 8 × 4) ＝ 
5206     1 － 1/5 ＋ 7 － 3 ＝ 
5207     9 × 1 ＋ 2 ÷ 3 ＝ 
5208     (2 ＋ 5 × 5) × 7 ＝ 
5209     1 ＋ 8 ＋ (6 ＋ 4) ＝ 
5210     7 ÷ 8 ÷ 9 ＋ 3/4 ＝ 
5211     7 ＋ 9 ÷ 3 － 5 ＝ 
5212     1 × 7 － (9 － 7) ＝ 
5213     (1 ＋ 7/10) × 1 ＋ 9 ＝ 
5214     6 ＋ (1'1/4 ＋ 3) ＋ 3 ＝ 
5215     6 ÷ (6 － 1/2 × 3) ＝ 
5216     2 ÷ (3 － 0 × 4) ＝ 
5217     4/9 ＋ (8 × 4 － 1/3) ＝ 
5218     9 ÷ (7 ÷ 4 ÷ 9) ＝ 
5219     3 ÷ (7 ÷ (2 ＋ 4)) ＝ 
5220     (9 ＋ 3) × (8 ÷ 2) ＝ 
5221     3 ＋ (5/8 × 3 ＋ 9) ＝ 
5222     6 ÷ (4 ÷ (2 ＋ 1)) ＝ 
5223     (1 ＋ (8 ＋ 2)) × 5/8 ＝ 
5224     0 ＋ 1 ÷ (7 － 5) ＝ 
5225     3'1/3 ＋ (2 ＋ 3 ÷ 3) ＝ 
5226     4 ÷ (8 ＋ (6 ＋ 9)) ＝ 
5227     1'1/6 × 7 × (4 ＋ 1) ＝ 
5228     7 × (1 ＋ 2 × 6) ＝ 
5229     7 ＋ 2 ＋ 8 ÷ 3 ＝ 
5230     (7 ＋ 9) ÷ (3 － 2) ＝ 
5231     9 － (1 ＋ (7 － 1)) ＝ 
5232     1 ÷ 8 ＋ 9 － 9 ＝ 
5233     8/9 ÷ (7 × 8) × 2 ＝ 
5234     6 × 8 × 7 × 0 ＝ 
5235     (2/7 ＋ 10) × (1 ＋ 4) ＝ 
5236     1 × 6 ÷ (4 ÷ 5) ＝ 
5237     (1 ＋ (9 － 9)) × 0 ＝ 
5238     6 ÷ (3 × 5) ÷ 3 ＝ 
5239     (5 － 1) × (7 × 7) ＝ 
5240     4 ＋ 8 － 6 ＋ 8 ＝ 
5241     7 ＋ 6 ＋ 2 － 2 ＝ 
5242     8 ＋ (9 － (0 ＋ 2)) ＝ 
5243     8 ÷ (3 ＋ 2) ÷ 3 ＝ 
5244     4 ＋ 6 － 6 ÷ 1 ＝ 
5245     (9 ＋ 3) × (7 ＋ 5) ＝ 
5246     1 ＋ (0 ÷ 9 ＋ 8) ＝ 
5247     9 ＋ 9 － 2 ＋ 6 ＝ 
5248     3 × (2'2/3 × 9) × 1'1/2 ＝ 
5249     2 × (1'1/2 ＋ 6 － 4/7) ＝ 
5250     6 ＋ (5/6 × 5 ＋ 9) ＝ 
5251     6 － 0 × (4 × 3) ＝ 
5252     2 ＋ 6 × (8 × 8) ＝ 
5253     1 × 5 － 3 × 0 ＝ 
5254     2 × ((0 ＋ 4/5) ÷ 6) ＝ 
5255     4/5 ÷ (6 ÷ 5 ÷ 7) ＝ 
5256     7 × 8 － 0 － 3 ＝ 
5257     3 ÷ 3/10 － (0 ＋ 5) ＝ 
5258     7 － (1'2/3 ÷ 6 ＋ 2/5) ＝ 
5259     (6 － 3) × (7/8 － 1/3) ＝ 
5260     (6 － 6) ÷ (7 × 8) ＝ 
5261     1'2/7 ÷ ((6 ＋ 6) × 1) ＝ 
5262     3 ＋ (0 ＋ (2 ＋ 1)) ＝ 
5263     1 ÷ (9 ＋ (9 － 5)) ＝ 
5264     6 × 5 ＋ (7 ＋ 7) ＝ 
5265     5 ＋ (7 ＋ 9 ＋ 7) ＝ 
5266     7 ＋ 7 × 8 ＋ 1'3/7 ＝ 
5267     7 ÷ (7 ÷ (5 × 7)) ＝ 
5268     4/9 × 4 × (2'1/3 ＋ 1) ＝ 
5269     3 ÷ 9 ÷ (6 － 4/9) ＝ 
5270     4 ÷ ((5/7 ＋ 3) ÷ 6) ＝ 
5271     4 ÷ 5 ÷ (8 ÷ 6) ＝ 
5272     5 － (2/5 ＋ 9 ÷ 9) ＝ 
5273     4 ＋ 6 － 1 × 2 ＝ 
5274     8 ＋ (3 － 2 ＋ 1'1/6) ＝ 
5275     9 ÷ 1 × (5 ÷ 6) ＝ 
5276     (4 － 3) ÷ (8 × 7) ＝ 
5277     4 × (2 × (8 × 6)) ＝ 
5278     4 ＋ 7 － 9 － 6/7 ＝ 
5279     9 × 2 ÷ (6 ÷ 1'1/2) ＝ 
5280     0 × 1/4 × (9 × 0) ＝ 
5281     (5 ＋ 1'1/3) × 7 － 8 ＝ 
5282     0 － (0 ＋ 0 ＋ 0) ＝ 
5283     (0 ＋ 5) ÷ (1 × 5) ＝ 
5284     4 ＋ 4/7 ÷ (5 － 4) ＝ 
5285     2 － (1 ＋ 1) ＋ 5/8 ＝ 
5286     6 ＋ (1 ÷ 2 ＋ 5) ＝ 
5287     (8 ＋ 1) ÷ (0 ＋ 2/3) ＝ 
5288     (5 － 2) × (3 － 2'1/2) ＝ 
5289     1 ÷ ((8 ＋ 4) × 7) ＝ 
5290     8 × (6 × 4) ÷ 7 ＝ 
5291     (3 ＋ (1/2 ＋ 6)) × 2 ＝ 
5292     1'1/5 × (8 ＋ 8) ＋ 3 ＝ 
5293     5 ＋ (3 ＋ (2 ＋ 9)) ＝ 
5294     (1'1/4 ＋ 3) × 2'1/2 ÷ 5 ＝ 
5295     7 ＋ 5/9 ＋ 7 ＋ 4 ＝ 
5296     4'1/2 ＋ 3 － 6 × 1 ＝ 
5297     6 × (6 ＋ 3) ＋ 2'1/3 ＝ 
5298     (8 ＋ 5) × 8 － 2 ＝ 
5299     4 × 5 × (2/9 × 1) ＝ 
5300     5 ＋ 9 ＋ (9 ＋ 2) ＝ 
5301     6 ÷ 6 × 6 － 3 ＝ 
5302     (7/10 ＋ 8 － 6) ÷ 3/5 ＝ 
5303     1 ÷ 1/8 ÷ (6 ＋ 6) ＝ 
5304     3 ＋ 3 ＋ (1 ＋ 8) ＝ 
5305     (2/9 ＋ 3) × (1 ÷ 4) ＝ 
5306     2 × (2 ÷ (4 ＋ 8)) ＝ 
5307     6 － 4 ＋ (2 ＋ 3) ＝ 
5308     2 － 1 ＋ 6 ＋ 5 ＝ 
5309     (7 － 6) × 6 － 4 ＝ 
5310     2 × (7 × 5) × 1 ＝ 
5311     9 × ((9 － 6) × 2) ＝ 
5312     7 × (4 × 0 × 2) ＝ 
5313     4 ＋ (8 － 1 × 1) ＝ 
5314     (6 － 3) × 3 ＋ 5 ＝ 
5315     9 ＋ (1 × 8 － 0) ＝ 
5316     3 ÷ (1 ÷ (5 － 3)) ＝ 
5317     6 ÷ (9 － (8 ＋ 0)) ＝ 
5318     1 × 3/4 × (4 ÷ 5) ＝ 
5319     (5 ＋ 1/2) ÷ 8 ＋ 7 ＝ 
5320     6 ＋ 8 － (2 ＋ 0) ＝ 
5321     1'2/7 ＋ 2/3 × 0 × 7 ＝ 
5322     1'1/4 ÷ (2 ＋ (3 ＋ 1)) ＝ 
5323     3 － 2 ＋ (6 － 3/5) ＝ 
5324     6 ÷ 2 ÷ (3'1/3 ÷ 8) ＝ 
5325     4 ÷ ((1 ＋ 2) ÷ 9) ＝ 
5326     7 × 7 × 4/5 ＋ 4 ＝ 
5327     8 ＋ 1/3 ＋ 8 － 8 ＝ 
5328     6 － 1 ＋ (2 ＋ 0) ＝ 
5329     9 × (4 ÷ (3 ＋ 1/2)) ＝ 
5330     8 × ((9 ＋ 3) × 5) ＝ 
5331     7 × (5 × 3 × 2) ＝ 
5332     8 ＋ 6 × (5 ＋ 9) ＝ 
5333     3/4 ＋ 1 ＋ (3 － 1'1/9) ＝ 
5334     3 ÷ 6 ＋ 9 × 9 ＝ 
5335     2 × (6 － 2/3) ＋ 4 ＝ 
5336     7 － 2 × 0 × 1 ＝ 
5337     2 ÷ 1/4 ＋ 6 － 1 ＝ 
5338     5 ÷ 3 × 6 × 7 ＝ 
5339     4 － 1 ＋ (7 － 4) ＝ 
5340     9 ＋ 3 × 8 － 5 ＝ 
5341     1/4 × 4 × (0 ÷ 1) ＝ 
5342     6 ＋ (6 ＋ 7 － 2) ＝ 
5343     3/4 ÷ (7 ＋ 6 ÷ 3) ＝ 
5344     3 － 1 × (2 ÷ 3) ＝ 
5345     8 × 9 ÷ 9 － 0 ＝ 
5346     (3 ＋ 0) × 3 － 1'1/8 ＝ 
5347     8/9 ＋ 4 ＋ 5 － 5 ＝ 
5348     8 ＋ 2/3 ÷ 1 ÷ 9 ＝ 
5349     8 × (5 × 7) ÷ 2 ＝ 
5350     2 ＋ 0 ＋ 3 ÷ 3 ＝ 
5351     1 ÷ 1/7 × 3 ÷ 9 ＝ 
5352     7 × 3 － 2 － 2/3 ＝ 
5353     9 × ((1 ＋ 2) ÷ 1) ＝ 
5354     (9/10 － 1/4 ＋ 2) × 8 ＝ 
5355     1/9 × (5 × 6 × 5/6) ＝ 
