题号    答案           四则运算式子
4836     13******      7 ＋ (8 ＋ 7) － 9 ＝ 
4837     5'19/28*      5/7 × 9 － 1 × 3/4 ＝ 
4838     21******      2 ＋ (2 × 7 ＋ 5) ＝ 
4839     1'2/5***      (0 ＋ 6 × 7/10) ÷ 3 ＝ 
4840     0*******      8 ÷ (8 ＋ 0) － 1 ＝ 
4841     64******      8 × 2 × (9 － 5) ＝ 
4842     3/16****      8 ÷ 2 ÷ 8 × 3/8 ＝ 
4843     56******      (9 × 1 － 1) × 7 ＝ 
4844     9*******      9 ＋ 1'1/3 × 0 ÷ 1/2 ＝ 
4845     37'1/3**      8 × (2/3 ＋ 4) × 1 ＝ 
4846     1176****      7 × 6 × 4 × 7 ＝ 
4847     5'3/4***      3 ＋ 2 ＋ 3 － 2'1/4 ＝ 
4848     8*******      (1/4 ＋ 5) × 0 ＋ 8 ＝ 
4849     1*******      6 × 0 ＋ 0 ＋ 1 ＝ 
4850     2'1/2***      5 × (1'1/2 ＋ 4 － 5) ＝ 
4851     5*******      5 － 0 × (9 － 0) ＝ 
4852     7'5/42**      (8 － 5/7) × 1 － 1/6 ＝ 
4853     1'8/15**      (2/3 ＋ 7) ÷ (3 ＋ 2) ＝ 
4854     9'1/7***      6 ＋ 6 － 3 ＋ 1/7 ＝ 
4855     28******      7 ÷ (3 ÷ (6 ＋ 6)) ＝ 
4856     1*******      7 ÷ (7 ＋ 0 ÷ 3) ＝ 
4857     5/33****      5 ÷ (3 × (5 ＋ 6)) ＝ 
4858     1'13/16*      2 － 3 ÷ (7 ＋ 9) ＝ 
4859     16/99***      4 ÷ 2'1/4 ÷ (3 ＋ 8) ＝ 
4860     120*****      10 × (6 × (1 ÷ 1/2)) ＝ 
4861     7/25****      (4 ＋ 3) × 1/5 ÷ 5 ＝ 
4862     0*******      2 × 0 × (1 ＋ 8) ＝ 
4863     65******      (6 ＋ 7) × (8 － 3) ＝ 
4864     13******      9 － 1 ＋ (7 － 2) ＝ 
4865     32******      3 ＋ (2 ＋ 9 × 3) ＝ 
4866     91******      (9 － 2) × (4 ＋ 9) ＝ 
4867     5'8/9***      6 － (3 － 2) ÷ 9 ＝ 
4868     1*******      (8 － 8) × 2 ＋ 1 ＝ 
4869     8'7/10**      4'1/2 ＋ 4 ＋ 1/5 ÷ 1 ＝ 
4870     3'7/8***      7 ÷ 8 ＋ 2 ＋ 1 ＝ 
4871     219'3/5*      6 × (1'3/5 ＋ 7 × 5) ＝ 
4872     3*******      (9 － 3) ÷ (3 － 1) ＝ 
4873     3'8/27**      3 ＋ 2/9 ÷ 6 × 8 ＝ 
4874     4'3/4***      (9 － 6) ÷ 4 ＋ 4 ＝ 
4875     8'11/25*      9 － 2/5 × (7 ÷ 5) ＝ 
4876     2'1/3***      3 ÷ 9 ＋ (8 － 6) ＝ 
4877     4'1/2***      1 ＋ 7 × (0 ＋ 1/2) ＝ 
4878     34******      6 × 5 ＋ (3 ＋ 1) ＝ 
4879     75'3/7**      8 ÷ 1'1/6 × (8 ＋ 3) ＝ 
4880     2/3*****      2/3 － 0 × (3/5 × 4/9) ＝ 
4881     2/3*****      2 ÷ 3 － 0 × 2 ＝ 
4882     26******      6 ＋ 5 × 3 × 1'1/3 ＝ 
4883     22/45***      (6 － 1'3/5) ÷ (4 ＋ 5) ＝ 
4884     15******      4 ＋ (6 ＋ 5 ÷ 1) ＝ 
4885     243*****      8 × (9 ÷ 3/10) ＋ 3 ＝ 
4886     7'27/80*      7 ＋ 1'1/8 × (1'1/2 ÷ 5) ＝ 
4887     18'3/5**      3 ÷ 1/4 － 2/5 ＋ 7 ＝ 
4888     61/63***      1 － 1/3 ÷ (9 ＋ 1'1/2) ＝ 
4889     12******      (9 ＋ (5 － 2)) ÷ 1 ＝ 
4890     1*******      0 － 0 ＋ (5 － 4) ＝ 
4891     24/35***      2/5 ÷ (2'1/3 ＋ 0) × 4 ＝ 
4892     36******      9 ＋ (3 × 9 ＋ 0) ＝ 
4893     4*******      6 － (0 × 2 ＋ 2) ＝ 
4894     7*******      7 － 0 ÷ 2 × 7 ＝ 
4895     4*******      4 ＋ 9 ÷ 3 － 3 ＝ 
4896     21'2/5**      2/5 ＋ (4 × 3 ＋ 9) ＝ 
4897     0*******      (6 ＋ 2 － 2) × 0 ＝ 
4898     7/12****      (8 － 1) ÷ (4 ÷ 1/3) ＝ 
4899     9*******      9 － 0 × (8 ÷ 2) ＝ 
4900     3/4*****      3/4 × (4 ÷ 4 － 0) ＝ 
4901     74'2/3**      2 ÷ 3/8 × (8 ＋ 6) ＝ 
4902     2'3/5***      (9 － 6) ÷ 1 － 2/5 ＝ 
4903     1*******      8 － (8 ＋ 0 － 1) ＝ 
4904     9'19/20*      8 ÷ (5 ÷ 7) － 1'1/4 ＝ 
4905     10'7/8**      3 ＋ (3 ＋ 4) ＋ 7/8 ＝ 
4906     1/2*****      1 ＋ (0 ＋ 1/2) － 1 ＝ 
4907     1/2*****      8 ＋ 1'1/2 － 4 ÷ 4/9 ＝ 
4908     1'2/3***      (5 ÷ 3 ＋ 0) ÷ 1 ＝ 
4909     15******      8 ＋ 5 － 7 ＋ 9 ＝ 
4910     5/21****      (2 － 1'2/7) × (2 － 1'2/3) ＝ 
4911     7/45****      1/3 × 7 × (3/5 ÷ 9) ＝ 
4912     128*****      8 × (7 ＋ 6 ＋ 3) ＝ 
4913     3*******      4 － (1 ＋ 2) ÷ 3 ＝ 
4914     44******      4 ＋ 8 × (5 － 0) ＝ 
4915     0*******      3 × 6 － 6 × 3 ＝ 
4916     15******      (3 － 0) × 1 × 5 ＝ 
4917     21******      4 × 4 ＋ (6 － 1) ＝ 
4918     1'3/5***      (9 － 1) ÷ (2 ＋ 3) ＝ 
4919     3*******      3 － (2 ＋ 9) × 0 ＝ 
4920     2*******      (2 ＋ (1 ＋ 5)) ÷ 4 ＝ 
4921     3*******      6 ＋ 2 － 5 × 1 ＝ 
4922     3'1/2***      (5 － 4) × 7 × 1/2 ＝ 
4923     25******      9 ＋ (4 ＋ 4 × 3) ＝ 
4924     23******      6 ＋ (7 ＋ 6 ＋ 4) ＝ 
4925     22******      9 ＋ (2 ＋ 5) ＋ 6 ＝ 
4926     8*******      8 × (7 － 4) ÷ 3 ＝ 
4927     29******      2 ＋ 7 ＋ 2 ÷ 1/10 ＝ 
4928     23'1/6**      1'1/6 × (7 ＋ 6) ＋ 8 ＝ 
4929     0*******      (4 － 4) ÷ 2 ÷ 7 ＝ 
4930     4'1/4***      1 × 1 ＋ (2 ＋ 1'1/4) ＝ 
4931     2/3*****      4 ÷ (6 ＋ 0 ÷ 1) ＝ 
4932     4'3/4***      2 × 1/4 ＋ (6 － 1'3/4) ＝ 
4933     7'5/7***      8 － 6 ÷ (7 × 3) ＝ 
4934     9'1/21**      5 ＋ 4 ＋ 2/7 ÷ 6 ＝ 
4935     36******      5 × 4 ＋ (7 ＋ 9) ＝ 
4936     5*******      5 ＋ (1 － (3 － 2)) ＝ 
4937     10******      7 ÷ 7 ＋ 2'1/4 × 4 ＝ 
4938     5'9/25**      3 ＋ (2 ＋ 1'4/5 ÷ 5) ＝ 
4939     6*******      4 ＋ (0 ＋ 7) － 5 ＝ 
4940     95******      (2 ＋ 9) ÷ 1/8 ＋ 7 ＝ 
4941     3/10****      0 ÷ 9 ＋ 9/10 ÷ 3 ＝ 
4942     10/63***      (3 ＋ 7) ÷ (7 × 9) ＝ 
4943     5'11/28*      1'1/4 ＋ 3 ＋ 1 × 1'1/7 ＝ 
4944     1/27****      2 ÷ (4 ÷ (4/9 ÷ 6)) ＝ 
4945     18'9/10*      1 × 9 ÷ 1/2 ＋ 9/10 ＝ 
4946     18'2/3**      4 × (6 × 7 ÷ 9) ＝ 
4947     9*******      (9 － 4 ＋ 4) ÷ 1 ＝ 
4948     3'1/2***      9 － (6 ÷ 4 ＋ 4) ＝ 
4949     7*******      (8 － 2'1/4) × 0 ＋ 7 ＝ 
4950     21******      6 ÷ (4 ÷ (9 ＋ 5)) ＝ 
4951     13'5/8**      5/8 ＋ 4 － 0 ＋ 9 ＝ 
4952     21/40***      1/8 ＋ 4 － (5 － 1'2/5) ＝ 
4953     1/7*****      (6 － 4) ÷ (2 × 7) ＝ 
4954     1*******      6 － (3 ＋ (0 ＋ 2)) ＝ 
4955     3*******      2 ÷ (4 ÷ 2) ＋ 2 ＝ 
4956     7'4/7***      9 － (1'3/7 ＋ 2 × 0) ＝ 
4957     15******      6 ＋ 9 × (5 － 4) ＝ 
4958     4'17/32*      (5/8 ＋ 4 － 1) × 1'1/4 ＝ 
4959     32/49***      4/7 × ((9 － 1) ÷ 7) ＝ 
4960     43******      1 ＋ 7 × (0 ＋ 6) ＝ 
4961     1'2/3***      1 × (6 － 3'1/3 － 1) ＝ 
4962     5/14****      (9 － 4) ÷ (5 ＋ 9) ＝ 
4963     66******      4 × (1'1/2 × (2 ＋ 9)) ＝ 
4964     21******      5 ＋ 3 ＋ 9 ＋ 4 ＝ 
4965     1*******      1 ＋ (0 ＋ 0 × 1'1/8) ＝ 
4966     1/12****      1 ÷ (2 ＋ (7 ＋ 3)) ＝ 
4967     28******      8 × (7 ÷ (5 － 3)) ＝ 
4968     7'6/7***      7 ＋ 1'1/7 － 2 ÷ 7 ＝ 
4969     6*******      7 － 1 ＋ 0 × 0 ＝ 
4970     2'2/3***      (8 － 2) × (4 ÷ 9) ＝ 
4971     2'6/7***      8 × 5 ÷ (2 × 7) ＝ 
4972     5/24****      (1/3 ÷ 1'1/3 ＋ 1) ÷ 6 ＝ 
4973     7'1/2***      9 － (1'1/2 × 1 ＋ 0) ＝ 
4974     2*******      4 × 7 ÷ (7 ＋ 7) ＝ 
4975     3'1/2***      7 ＋ 1 － 4'1/2 × 1 ＝ 
4976     12******      4 ＋ (6 ＋ (1 ＋ 1)) ＝ 
4977     8/9*****      (4 ＋ 4) ÷ (8 ＋ 1) ＝ 
4978     184*****      4 ＋ 9 × 5 × 4 ＝ 
4979     2/13****      4 ÷ (2 ＋ 6 × 4) ＝ 
4980     6'6/7***      (0 － 0 ＋ 8) × 6/7 ＝ 
4981     11'6/7**      1'2/7 ÷ 1/3 ＋ (5 ＋ 3) ＝ 
4982     12******      8 ＋ (8 ＋ 4) － 8 ＝ 
4983     6*******      6 ÷ (3 ÷ 1'1/2) ＋ 3 ＝ 
4984     5'1/8***      5 ＋ 2 × 1/2 ÷ 8 ＝ 
4985     7'1/4***      9 ＋ 6 － 9 ＋ 1'1/4 ＝ 
4986     9'1/2***      1 ÷ 2 × 1 ＋ 9 ＝ 
4987     18'3/4**      2 × (9 × 1) ＋ 3/4 ＝ 
4988     6'7/9***      3 ＋ (8 ÷ 2 － 2/9) ＝ 
4989     37'5/7**      (1 ＋ 4 ＋ 1'2/7) × 6 ＝ 
4990     3'2/3***      4 ÷ 1 ÷ 6 ＋ 3 ＝ 
4991     9'3/5***      3 ÷ 5 ＋ 7 ＋ 2 ＝ 
4992     0*******      1'2/7 × 0 ÷ (4 ＋ 1'1/2) ＝ 
4993     10******      (10 ＋ 6) × (5 × 1/8) ＝ 
4994     7'8/9***      6 × 2'2/3 － (9 － 8/9) ＝ 
4995     10'1/4**      (7 － 1/6) ÷ (4 ÷ 6) ＝ 
4996     2*******      4 ÷ (2 ＋ (0 ＋ 0)) ＝ 
4997     20'4/5**      (3 ＋ 1) × 5 ＋ 4/5 ＝ 
4998     15'71/72      5 ＋ (1'1/9 ＋ (7/8 ＋ 9)) ＝ 
4999     1*******      (5 ＋ 1) ÷ 6 － 0 ＝ 
5000     94'1/2**      9 × 3 ÷ (2 ÷ 7) ＝ 
5001     15******      7 ＋ (3 ÷ 1 ＋ 5) ＝ 
5002     7/30****      7 ÷ 5 ÷ 6 － 0 ＝ 
5003     15******      (2 ＋ 6) ÷ 1'3/5 × 3 ＝ 
5004     5*******      5 ＋ 0 ÷ 3 × 1 ＝ 
5005     2*******      3 － 0 － 4 ÷ 4 ＝ 
5006     66******      (3 × 7 ＋ 1) × 3 ＝ 
5007     5'19/24*      6 － 1/2 ÷ 3 ÷ 4/5 ＝ 
5008     8*******      2 × 4/9 × (8 ＋ 1) ＝ 
5009     5'1/2***      5 ＋ 1'1/2 ÷ (8 － 5) ＝ 
5010     20******      5 ＋ (7 ＋ (1 ＋ 7)) ＝ 
5011     5/51****      1/3 × (5 ÷ (8 ＋ 9)) ＝ 
5012     2*******      7 × 2 － (6 ＋ 6) ＝ 
5013     1'5/6***      5 ÷ 6 ＋ 1/7 × 7 ＝ 
5014     4'2/7***      (8 － 3) ÷ 7 × 6 ＝ 
5015     4/9*****      1/3 × ((3 ＋ 5) ÷ 6) ＝ 
5016     39******      1 ＋ (7 × 6 － 4) ＝ 
5017     3/22****      1'1/2 ÷ (6 ÷ 1 ＋ 5) ＝ 
5018     54******      1 × 9 × 5 ＋ 9 ＝ 
5019     8/21****      2/3 × (1'2/7 － 1) × 2 ＝ 
5020     25******      5 × 9 × (1 － 4/9) ＝ 
5021     0*******      (8 － 8) ÷ (1/7 ＋ 1'4/5) ＝ 
5022     13******      1 ＋ 1 × (4 ＋ 8) ＝ 
5023     8'5/7***      9 × (8 ＋ 5/7) ÷ 9 ＝ 
5024     7'1/2***      2 × 3 × 2 － 4'1/2 ＝ 
5025     13'12/25      1'1/5 × 2/5 ＋ (8 ＋ 5) ＝ 
5026     20******      9 ＋ 9 ＋ (2 － 0) ＝ 
5027     8*******      4 × (2 ＋ 0 × 3) ＝ 
5028     26******      1 ＋ (5 × 6 － 5) ＝ 
5029     7*******      (0 ＋ 7) × (5 ÷ 5) ＝ 
5030     19******      1 × (9 ＋ 7 ＋ 3) ＝ 
5031     21******      6 ÷ (2/9 ÷ (7 ÷ 9)) ＝ 
5032     0*******      0 ÷ 5 × (0 － 0) ＝ 
5033     32******      (8 ＋ (2 ＋ 6)) × 2 ＝ 
5034     19'1/3**      4 × 2'1/3 ＋ (8 ＋ 2) ＝ 
5035     11******      2 ＋ (1 ＋ 3) ＋ 5 ＝ 
5036     2*******      3 ＋ 5 － (1 ＋ 5) ＝ 
5037     3/4*****      4 － (5 ＋ 1/4 － 2) ＝ 
5038     6'2/9***      (6 － 5 ÷ 9) ÷ 7/8 ＝ 
5039     2/11****      2 ÷ (9 ÷ 1 ＋ 2) ＝ 
5040     0*******      6 × 0 ÷ (1 ＋ 9) ＝ 
5041     28'4/21*      4/7 ÷ 3 ＋ 7 × 4 ＝ 
5042     10******      5 ＋ 1 ＋ 4 × 1 ＝ 
5043     6'2/9***      6 ＋ 1 － 7 ÷ 9 ＝ 
5044     7'3/14**      6 ＋ 1 ＋ 3/7 × 1/2 ＝ 
5045     10'11/18      1/9 ＋ 6 ＋ 3 ＋ 1'1/2 ＝ 
5046     19'4/7**      9 ＋ (6 ＋ (6 － 1'3/7)) ＝ 
5047     56******      6 × 8 ＋ 4 ＋ 4 ＝ 
5048     2*******      3/4 × (3 × 0) ＋ 2 ＝ 
5049     101'1/4*      6 × (4 － 5/8) × 5 ＝ 
5050     261'1/3*      4 × (8 × 1'1/6) × 7 ＝ 
5051     20******      3'1/3 × ((5 ＋ 4) × 2/3) ＝ 
5052     16'1/35*      7 ＋ 9 ＋ 3/7 － 2/5 ＝ 
5053     14******      7 ÷ 1/2 ÷ (2 ÷ 2) ＝ 
5054     36******      4 ＋ (5 × 7 － 3) ＝ 
5055     95******      (8 ＋ 2) × (1'1/2 ＋ 8) ＝ 
5056     9'1/3***      6 ＋ (3 ÷ 9 ＋ 3) ＝ 
5057     22******      4 × 5 ＋ 1 ＋ 1 ＝ 
5058     60******      5 ＋ (7 × 7 ＋ 6) ＝ 
5059     45******      (4 ＋ 6) ÷ (2/3 － 4/9) ＝ 
5060     7/9*****      7 ÷ 9 － 5 × 0 ＝ 
5061     6'3/4***      3 ÷ (6 ÷ 9 × 2/3) ＝ 
5062     0*******      (1'1/4 × 4 － 5) × 4 ＝ 
5063     114*****      (3 × 9 ＋ 1'1/2) × 4 ＝ 
5064     11'4/21*      6/7 － 1/3 ＋ (1'2/3 ＋ 9) ＝ 
5065     3/4*****      9 ÷ 1'1/5 ÷ 2 － 3 ＝ 
5066     4'1/2***      6 ÷ (4 ＋ 4) × 6 ＝ 
5067     8*******      2 ＋ 2 ＋ 5 ÷ 1'1/4 ＝ 
5068     20******      3 × (8 × 5) ÷ 6 ＝ 
5069     9/10****      3 ÷ (1'2/3 × 6 ÷ 3) ＝ 
5070     12'1/2**      (0 ＋ 10) ÷ (1'3/5 ÷ 2) ＝ 
5071     3/32****      (1 ÷ 4 ＋ 1/2) ÷ 8 ＝ 
5072     7/9*****      3 ÷ (6/7 ＋ 7 － 4) ＝ 
5073     3'3/5***      5 － (6 － 5) － 2/5 ＝ 
5074     5'2/5***      (1 － 0 ＋ 8) ÷ 1'2/3 ＝ 
5075     1'2/3***      (5 ＋ 5) ÷ (6 × 1) ＝ 
5076     18******      5 ＋ (6 ＋ 7 ＋ 0) ＝ 
5077     1'1/4***      2 ＋ (9 － 1'3/4) － 8 ＝ 
5078     55'2/5**      5 ＋ 6 × 6 × 1'2/5 ＝ 
5079     44'1/2**      (5 ＋ (4 － 1/10)) × 5 ＝ 
5080     1'2/5***      7 － 4 × 7 ÷ 5 ＝ 
5081     9/91****      1 ÷ (1'1/9 ＋ (2 ＋ 7)) ＝ 
5082     94'2/7**      (8 ＋ 9 － 1'2/7) × 6 ＝ 
5083     14******      (6 ＋ 1) × (2 × 1) ＝ 
5084     168*****      3 × (8 × 1 × 7) ＝ 
5085     9*******      9 ＋ (6 － 6 ＋ 0) ＝ 
5086     3*******      (2 － 1/2) ÷ (1 ÷ 2) ＝ 
5087     17'2/9**      6 － 7/9 ＋ (7 ＋ 5) ＝ 
5088     13'7/9**      4 × (1 ＋ 4/9) ＋ 8 ＝ 
5089     4'1/3***      1'1/6 ÷ (7/8 ÷ 7) － 5 ＝ 
5090     2'4/7***      6 ÷ 2'1/3 ＋ (0 － 0) ＝ 
5091     1'1/13**      2 ÷ ((8 ＋ 5) ÷ 7) ＝ 
5092     2'7/30**      (9 ＋ (2'2/3 － 1/2)) ÷ 5 ＝ 
5093     1/12****      1'1/4 × 1 ÷ (5 × 3) ＝ 
5094     21'1/3**      3 × 8 × 8 ÷ 9 ＝ 
5095     0*******      (6 － 2) × (3/7 × 0) ＝ 
5096     3'7/18**      (6 ＋ 7/9) ÷ (9 － 7) ＝ 
5097     1'1/8***      9 × (6 ÷ 8) ÷ 6 ＝ 
5098     7/27****      2 ÷ (1/7 × (9 × 6)) ＝ 
5099     8/39****      2 ÷ (9 ＋ 3 ÷ 4) ＝ 
5100     1/5*****      (9 － 8) ÷ (3 ＋ 2) ＝ 
5101     44******      2 × (9 ＋ (4 ＋ 9)) ＝ 
5102     14'1/3**      4 ＋ 5 ＋ (8 － 2'2/3) ＝ 
5103     15******      6 － 4 ＋ (5 ＋ 8) ＝ 
5104     87******      7 ＋ 5 × 2 × 8 ＝ 
5105     61******      7 × 10 － (5 ＋ 4) ＝ 
5106     0*******      0 ÷ (1 × (4 ＋ 1/4)) ＝ 
5107     3/4*****      3 － (3 ＋ 6) ÷ 4 ＝ 
5108     22'4/5**      7 ＋ (7 ＋ 8) ＋ 4/5 ＝ 
5109     4*******      8 － 6 ＋ (5 － 3) ＝ 
5110     0*******      (9 － 5) × 2 － 8 ＝ 
5111     3*******      5 － 1 ＋ 1 － 2 ＝ 
5112     17******      3 × (0 ＋ 4) ＋ 5 ＝ 
5113     6*******      (6 ＋ 3) × (1 － 1/3) ＝ 
5114     3*******      2 ＋ (9 × 0 ＋ 1) ＝ 
5115     0*******      5 × (9 － 4 － 5) ＝ 
5116     1/15****      4/5 ÷ (5 ＋ (3 ＋ 4)) ＝ 
5117     3*******      0 × 2 ＋ 1 ÷ 1/3 ＝ 
5118     13******      4 ＋ (1 ＋ 4) ＋ 4 ＝ 
5119     4/29****      1 ÷ (1 × 7 ＋ 1/4) ＝ 
5120     3*******      1 × 3 － (0 － 0) ＝ 
5121     10******      2 × (8 ÷ 1 － 3) ＝ 
5122     18******      5 ＋ (5 ＋ 4 × 2) ＝ 
5123     5*******      7 － (2 ＋ 8 × 0) ＝ 
5124     3/10****      3/10 ＋ (1 ＋ 0) × 0 ＝ 
5125     5*******      5 ＋ 0 × (3'1/2 ＋ 0) ＝ 
5126     5*******      1 ＋ (0 × 3 ＋ 4) ＝ 
5127     15******      2 × (2/3 ＋ 7) － 1/3 ＝ 
5128     10'2/5**      3 ＋ 2/5 ＋ (8 － 1) ＝ 
5129     14******      2 ＋ (5 ＋ (7 ＋ 0)) ＝ 
5130     3'8/23**      1 ＋ 6 ÷ (2 ＋ 5/9) ＝ 
5131     5/24****      5 ÷ 6/7 ÷ (4 × 7) ＝ 
5132     216*****      3 × 9 × 2 ÷ 1/4 ＝ 
5133     7*******      3 ＋ 9 － (8 － 3) ＝ 
5134     1'2/3***      (6 ＋ 5 － 6) ÷ 3 ＝ 
5135     24******      (9 － 3) × (4 ＋ 0) ＝ 
5136     32******      9 ＋ 4 × 4 ＋ 7 ＝ 
5137     13******      4 ＋ 1 ＋ 8 ÷ 1 ＝ 
5138     72******      3 × 4 × (6 ＋ 0) ＝ 
5139     34******      2 ＋ (7 ＋ 9) × 2 ＝ 
5140     6*******      1'1/4 × 4 × (1 ÷ 5/6) ＝ 
5141     12'1/7**      3 × (1/3 ＋ (5 － 1'2/7)) ＝ 
5142     0*******      0 ÷ (0 ＋ 1'1/2 ＋ 9) ＝ 
5143     8'2/3***      7 ＋ 3 － 4 ÷ 3 ＝ 
5144     12'4/5**      8 × (4 ÷ 5 × 2) ＝ 
5145     10******      3 － 1 ＋ (2 ＋ 6) ＝ 
5146     50/81***      0 ＋ 5 ÷ (9/10 × 9) ＝ 
5147     1'3/7***      (6 × 3 － 8) ÷ 7 ＝ 
5148     8/27****      4 × 2 ÷ 4'1/2 ÷ 6 ＝ 
5149     30******      8 × 3 × 5 × 1/4 ＝ 
5150     4*******      4 － 1 ＋ 2 － 1 ＝ 
5151     1'1/2***      (3 ＋ 6) ÷ (9 － 3) ＝ 
5152     12******      0 ＋ (3 ＋ 2 ＋ 7) ＝ 
5153     3*******      9 ＋ 1 × 2 － 8 ＝ 
5154     31'1/4**      (2 ＋ 1'1/8) × (5 ＋ 5) ＝ 
5155     2'7/10**      3 － (3 － 1'1/5) ÷ 6 ＝ 
5156     11******      5 ＋ (8 ÷ 4 ＋ 4) ＝ 
5157     18'2/5**      (1 ＋ 3) × (4 ＋ 3/5) ＝ 
5158     16/75***      8 ÷ 5 ÷ (8 － 1/2) ＝ 
5159     1/5*****      8 ÷ (5 ＋ 5) ÷ 4 ＝ 
5160     22'1/2**      (1 ＋ 9 ÷ 6) × 9 ＝ 
5161     168*****      7 × 2 × (3 ＋ 9) ＝ 
5162     6*******      6 － (1 ＋ 8) × 0 ＝ 
5163     4'13/15*      5 － 4/5 ÷ 1 ÷ 6 ＝ 
5164     72******      3 × (0 ＋ 8) × 3 ＝ 
5165     0*******      3 ÷ 2 × 2 － 3 ＝ 
5166     4'13/15*      8 ÷ 5 × 2 ＋ 1'2/3 ＝ 
5167     45******      (5 ＋ 1 ＋ 3) × 5 ＝ 
5168     3*******      (3 ＋ (9 － 2)) × 3/10 ＝ 
5169     4/9*****      4 ÷ (9 ÷ 1 × 1) ＝ 
5170     6'1/4***      (7 ÷ 4 ＋ 2) ÷ 3/5 ＝ 
5171     2*******      7 ÷ 7 ＋ 9 ÷ 9 ＝ 
5172     31/40***      2/5 ＋ 1 ÷ (8 ÷ 3) ＝ 
5173     2/3*****      2/3 － 0 ÷ (9 × 3) ＝ 
5174     10******      0 × 5/9 ＋ (5 ＋ 5) ＝ 
5175     1'1/20**      (0 ＋ 1/4 × 7) ÷ 1'2/3 ＝ 
5176     2'2/3***      (0 ＋ 8 ＋ 8) ÷ 6 ＝ 
5177     5'1/5***      3 ＋ (3 － (0 ＋ 4/5)) ＝ 
5178     3*******      9 － 5 － 2 ÷ 2 ＝ 
5179     11'1/5**      (7 － 0) × (1/5 × 8) ＝ 
5180     2'1/3***      2'1/3 ＋ 6 × (0 ÷ 1/9) ＝ 
5181     8*******      (5 － 1) × (1 ÷ 1/2) ＝ 
5182     16******      7 ＋ 2 － 1 ＋ 8 ＝ 
5183     7'41/48*      8 － 3/4 ÷ (4 ＋ 1'1/7) ＝ 
5184     16******      7 ＋ (9 － 0 × 3) ＝ 
5185     1/15****      (3 － 0) ÷ (5 × 9) ＝ 
5186     17******      6 × (8 ÷ 4) ＋ 5 ＝ 
5187     6*******      6 ＋ 0 － 0 × 9 ＝ 
5188     9*******      3 ＋ 7 － (4 － 3) ＝ 
5189     15******      1 × (1 × (3 × 5)) ＝ 
5190     1'11/45*      (5 ＋ 3) ÷ (7 － 4/7) ＝ 
5191     5/6*****      (3 － 2) ÷ 6 × 5 ＝ 
5192     2/5*****      4 ÷ (1 × 3 ＋ 7) ＝ 
5193     2'1/4***      2 × ((3 ＋ 6) ÷ 8) ＝ 
5194     8*******      2 ＋ 4 ＋ 8 － 6 ＝ 
5195     9*******      (2 ＋ (8 － 1)) ÷ 1 ＝ 
5196     31'1/2**      (7 ＋ 2) × (2'1/2 ＋ 1) ＝ 
5197     4/7*****      2 × (2 × (1 × 1/7)) ＝ 
5198     4'2/3***      7 ÷ ((1 ＋ 5) ÷ 4) ＝ 
5199     72******      9 × 4 ÷ (4 ÷ 8) ＝ 
5200     6*******      3 × 1 × (2 ＋ 0) ＝ 
5201     4*******      0 × 3 ＋ 1/2 × 8 ＝ 
5202     56******      (8 ＋ 6) × (7 － 3) ＝ 
5203     3'11/36*      1'1/6 ÷ 2 × (1'2/3 ＋ 4) ＝ 
5204     1'13/42*      2/7 × (1 ＋ 3) ＋ 1/6 ＝ 
5205     49******      8 ＋ (9 ＋ 8 × 4) ＝ 
5206     4'4/5***      1 － 1/5 ＋ 7 － 3 ＝ 
5207     9'2/3***      9 × 1 ＋ 2 ÷ 3 ＝ 
5208     189*****      (2 ＋ 5 × 5) × 7 ＝ 
5209     19******      1 ＋ 8 ＋ (6 ＋ 4) ＝ 
5210     61/72***      7 ÷ 8 ÷ 9 ＋ 3/4 ＝ 
5211     5*******      7 ＋ 9 ÷ 3 － 5 ＝ 
5212     5*******      1 × 7 － (9 － 7) ＝ 
5213     10'7/10*      (1 ＋ 7/10) × 1 ＋ 9 ＝ 
5214     13'1/4**      6 ＋ (1'1/4 ＋ 3) ＋ 3 ＝ 
5215     1'1/3***      6 ÷ (6 － 1/2 × 3) ＝ 
5216     2/3*****      2 ÷ (3 － 0 × 4) ＝ 
5217     32'1/9**      4/9 ＋ (8 × 4 － 1/3) ＝ 
5218     46'2/7**      9 ÷ (7 ÷ 4 ÷ 9) ＝ 
5219     2'4/7***      3 ÷ (7 ÷ (2 ＋ 4)) ＝ 
5220     48******      (9 ＋ 3) × (8 ÷ 2) ＝ 
5221     13'7/8**      3 ＋ (5/8 × 3 ＋ 9) ＝ 
5222     4'1/2***      6 ÷ (4 ÷ (2 ＋ 1)) ＝ 
5223     6'7/8***      (1 ＋ (8 ＋ 2)) × 5/8 ＝ 
5224     1/2*****      0 ＋ 1 ÷ (7 － 5) ＝ 
5225     6'1/3***      3'1/3 ＋ (2 ＋ 3 ÷ 3) ＝ 
5226     4/23****      4 ÷ (8 ＋ (6 ＋ 9)) ＝ 
5227     40'5/6**      1'1/6 × 7 × (4 ＋ 1) ＝ 
5228     91******      7 × (1 ＋ 2 × 6) ＝ 
5229     11'2/3**      7 ＋ 2 ＋ 8 ÷ 3 ＝ 
5230     16******      (7 ＋ 9) ÷ (3 － 2) ＝ 
5231     2*******      9 － (1 ＋ (7 － 1)) ＝ 
